compile_order,circuit_inventory_id,pair_id,regime,depth,two_qubit_count,num_qubits,ops
60,zz4_H0_zz4_pair_0060,zz4_pair_0060,H0,70,14,156,"{'rz': 59, 'sx': 36, 'cz': 14, 'measure': 4, 'barrier': 1}"
61,zz4_H0_zz4_pair_0061,zz4_pair_0061,H0,70,14,156,"{'rz': 59, 'sx': 36, 'cz': 14, 'measure': 4, 'barrier': 1}"
62,zz4_H0_zz4_pair_0062,zz4_pair_0062,H0,70,14,156,"{'rz': 59, 'sx': 36, 'cz': 14, 'measure': 4, 'barrier': 1}"
63,zz4_H0_zz4_pair_0063,zz4_pair_0063,H0,70,14,156,"{'rz': 59, 'sx': 36, 'cz': 14, 'measure': 4, 'barrier': 1}"
64,zz4_H0_zz4_pair_0064,zz4_pair_0064,H0,70,14,156,"{'rz': 59, 'sx': 36, 'cz': 14, 'measure': 4, 'barrier': 1}"
65,zz4_H0_zz4_pair_0065,zz4_pair_0065,H0,70,14,156,"{'rz': 59, 'sx': 36, 'cz': 14, 'measure': 4, 'barrier': 1}"
66,zz4_H0_zz4_pair_0066,zz4_pair_0066,H0,70,14,156,"{'rz': 59, 'sx': 36, 'cz': 14, 'measure': 4, 'barrier': 1}"
67,zz4_H0_zz4_pair_0067,zz4_pair_0067,H0,70,14,156,"{'rz': 59, 'sx': 36, 'cz': 14, 'measure': 4, 'barrier': 1}"
68,zz4_H0_zz4_pair_0068,zz4_pair_0068,H0,70,14,156,"{'rz': 59, 'sx': 36, 'cz': 14, 'measure': 4, 'barrier': 1}"
69,zz4_H0_zz4_pair_0069,zz4_pair_0069,H0,1,0,156,"{'measure': 4, 'barrier': 1}"
70,zz4_H0_zz4_pair_0070,zz4_pair_0070,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
71,zz4_H0_zz4_pair_0071,zz4_pair_0071,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
72,zz4_H0_zz4_pair_0072,zz4_pair_0072,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
73,zz4_H0_zz4_pair_0073,zz4_pair_0073,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
74,zz4_H0_zz4_pair_0074,zz4_pair_0074,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
75,zz4_H0_zz4_pair_0075,zz4_pair_0075,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
76,zz4_H0_zz4_pair_0076,zz4_pair_0076,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
77,zz4_H0_zz4_pair_0077,zz4_pair_0077,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
78,zz4_H0_zz4_pair_0078,zz4_pair_0078,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
79,zz4_H0_zz4_pair_0079,zz4_pair_0079,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
80,zz4_H0_zz4_pair_0080,zz4_pair_0080,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
81,zz4_H0_zz4_pair_0081,zz4_pair_0081,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
82,zz4_H0_zz4_pair_0082,zz4_pair_0082,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
83,zz4_H0_zz4_pair_0083,zz4_pair_0083,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
84,zz4_H0_zz4_pair_0084,zz4_pair_0084,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
85,zz4_H0_zz4_pair_0085,zz4_pair_0085,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
86,zz4_H0_zz4_pair_0086,zz4_pair_0086,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
87,zz4_H0_zz4_pair_0087,zz4_pair_0087,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
88,zz4_H0_zz4_pair_0088,zz4_pair_0088,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
89,zz4_H0_zz4_pair_0089,zz4_pair_0089,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
90,zz4_H0_zz4_pair_0090,zz4_pair_0090,H0,1,0,156,"{'measure': 4, 'barrier': 1}"
91,zz4_H0_zz4_pair_0091,zz4_pair_0091,H0,82,18,156,"{'rz': 77, 'sx': 48, 'cz': 18, 'measure': 4, 'barrier': 1}"
92,zz4_H0_zz4_pair_0092,zz4_pair_0092,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
93,zz4_H0_zz4_pair_0093,zz4_pair_0093,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
94,zz4_H0_zz4_pair_0094,zz4_pair_0094,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
95,zz4_H0_zz4_pair_0095,zz4_pair_0095,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
96,zz4_H0_zz4_pair_0096,zz4_pair_0096,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
97,zz4_H0_zz4_pair_0097,zz4_pair_0097,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
98,zz4_H0_zz4_pair_0098,zz4_pair_0098,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
99,zz4_H0_zz4_pair_0099,zz4_pair_0099,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
100,zz4_H0_zz4_pair_0100,zz4_pair_0100,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
101,zz4_H0_zz4_pair_0101,zz4_pair_0101,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
102,zz4_H0_zz4_pair_0102,zz4_pair_0102,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
103,zz4_H0_zz4_pair_0103,zz4_pair_0103,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
104,zz4_H0_zz4_pair_0104,zz4_pair_0104,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
105,zz4_H0_zz4_pair_0105,zz4_pair_0105,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
106,zz4_H0_zz4_pair_0106,zz4_pair_0106,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
107,zz4_H0_zz4_pair_0107,zz4_pair_0107,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
108,zz4_H0_zz4_pair_0108,zz4_pair_0108,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
109,zz4_H0_zz4_pair_0109,zz4_pair_0109,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
110,zz4_H0_zz4_pair_0110,zz4_pair_0110,H0,1,0,156,"{'measure': 4, 'barrier': 1}"
111,zz4_H0_zz4_pair_0111,zz4_pair_0111,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
112,zz4_H0_zz4_pair_0112,zz4_pair_0112,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
113,zz4_H0_zz4_pair_0113,zz4_pair_0113,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
114,zz4_H0_zz4_pair_0114,zz4_pair_0114,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
115,zz4_H0_zz4_pair_0115,zz4_pair_0115,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
116,zz4_H0_zz4_pair_0116,zz4_pair_0116,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
117,zz4_H0_zz4_pair_0117,zz4_pair_0117,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
118,zz4_H0_zz4_pair_0118,zz4_pair_0118,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
119,zz4_H0_zz4_pair_0119,zz4_pair_0119,H0,102,22,156,"{'rz': 91, 'sx': 56, 'cz': 22, 'measure': 4, 'barrier': 1}"
