pair_id,pair_order,pair_mode,kernel_i,kernel_j,sample_i_id,sample_j_id,sample_i_split,sample_j_split,sample_i_target,sample_j_target,pair_type,split_pair,target_pair,expected_symmetry_mirror,include_in_wave1_full_kernel,sentinel_pair,notes
zz4_pair_0080,80,upper_triangle_including_diagonal,3,14,3bcb72be19f6891f,a39713a90257d827,,,,,off_diagonal,,,true,true,false,
zz4_pair_0081,81,upper_triangle_including_diagonal,3,15,3bcb72be19f6891f,fc59d55a83f892d0,,,,,off_diagonal,,,true,true,false,
zz4_pair_0082,82,upper_triangle_including_diagonal,3,16,3bcb72be19f6891f,a4bd453f56f0e631,,,,,off_diagonal,,,true,true,false,
zz4_pair_0083,83,upper_triangle_including_diagonal,3,17,3bcb72be19f6891f,b1db81243749dd16,,,,,off_diagonal,,,true,true,false,
zz4_pair_0084,84,upper_triangle_including_diagonal,3,18,3bcb72be19f6891f,d8152fa95ab9f51d,,,,,off_diagonal,,,true,true,false,
zz4_pair_0085,85,upper_triangle_including_diagonal,3,19,3bcb72be19f6891f,664a7fad6c56bb69,,,,,off_diagonal,,,true,true,false,
zz4_pair_0086,86,upper_triangle_including_diagonal,3,20,3bcb72be19f6891f,fa8359bc13d94b4e,,,,,off_diagonal,,,true,true,false,
zz4_pair_0087,87,upper_triangle_including_diagonal,3,21,3bcb72be19f6891f,e670c8b96454834e,,,,,off_diagonal,,,true,true,false,
zz4_pair_0088,88,upper_triangle_including_diagonal,3,22,3bcb72be19f6891f,c46db9ff584498d8,,,,,off_diagonal,,,true,true,false,
zz4_pair_0089,89,upper_triangle_including_diagonal,3,23,3bcb72be19f6891f,b1c2bbb93e4f5cb2,,,,,off_diagonal,,,true,true,false,
zz4_pair_0090,90,upper_triangle_including_diagonal,4,4,35e7dd29fccb3b7f,35e7dd29fccb3b7f,,,,,diagonal,,,false,true,false,diagonal may be measured or set to one by documented execution policy
zz4_pair_0091,91,upper_triangle_including_diagonal,4,5,35e7dd29fccb3b7f,2e9466b16a3fda6e,,,,,off_diagonal,,,true,true,false,
zz4_pair_0092,92,upper_triangle_including_diagonal,4,6,35e7dd29fccb3b7f,ab4dc42e7cd1e078,,,,,off_diagonal,,,true,true,false,
zz4_pair_0093,93,upper_triangle_including_diagonal,4,7,35e7dd29fccb3b7f,dff67452baae875f,,,,,off_diagonal,,,true,true,false,
