regime_id,pub_order,circuit_inventory_id,pair_id,i,j,all_zero_key,all_zero_count,shots_observed,kernel_value_raw
H0,94,zz4_H0_zz4_pair_0094,zz4_pair_0094,4,8,0000,43,1024,0.0419921875
H0,95,zz4_H0_zz4_pair_0095,zz4_pair_0095,4,9,0000,78,1024,0.076171875
H0,96,zz4_H0_zz4_pair_0096,zz4_pair_0096,4,10,0000,18,1024,0.017578125
H0,97,zz4_H0_zz4_pair_0097,zz4_pair_0097,4,11,0000,91,1024,0.0888671875
H0,98,zz4_H0_zz4_pair_0098,zz4_pair_0098,4,12,0000,114,1024,0.111328125
H0,99,zz4_H0_zz4_pair_0099,zz4_pair_0099,4,13,0000,157,1024,0.1533203125
H0,100,zz4_H0_zz4_pair_0100,zz4_pair_0100,4,14,0000,34,1024,0.033203125
H0,101,zz4_H0_zz4_pair_0101,zz4_pair_0101,4,15,0000,50,1024,0.048828125
H0,102,zz4_H0_zz4_pair_0102,zz4_pair_0102,4,16,0000,29,1024,0.0283203125
H0,103,zz4_H0_zz4_pair_0103,zz4_pair_0103,4,17,0000,125,1024,0.1220703125
H0,104,zz4_H0_zz4_pair_0104,zz4_pair_0104,4,18,0000,79,1024,0.0771484375
H0,105,zz4_H0_zz4_pair_0105,zz4_pair_0105,4,19,0000,144,1024,0.140625
H0,106,zz4_H0_zz4_pair_0106,zz4_pair_0106,4,20,0000,399,1024,0.3896484375
H0,107,zz4_H0_zz4_pair_0107,zz4_pair_0107,4,21,0000,141,1024,0.1376953125
H0,108,zz4_H0_zz4_pair_0108,zz4_pair_0108,4,22,0000,20,1024,0.01953125
H0,109,zz4_H0_zz4_pair_0109,zz4_pair_0109,4,23,0000,19,1024,0.0185546875
H0,110,zz4_H0_zz4_pair_0110,zz4_pair_0110,5,5,0000,957,1024,0.9345703125
H0,111,zz4_H0_zz4_pair_0111,zz4_pair_0111,5,6,0000,28,1024,0.02734375
H0,112,zz4_H0_zz4_pair_0112,zz4_pair_0112,5,7,0000,53,1024,0.0517578125
H0,113,zz4_H0_zz4_pair_0113,zz4_pair_0113,5,8,0000,104,1024,0.1015625
H0,114,zz4_H0_zz4_pair_0114,zz4_pair_0114,5,9,0000,88,1024,0.0859375
H0,115,zz4_H0_zz4_pair_0115,zz4_pair_0115,5,10,0000,33,1024,0.0322265625
H0,116,zz4_H0_zz4_pair_0116,zz4_pair_0116,5,11,0000,45,1024,0.0439453125
H0,117,zz4_H0_zz4_pair_0117,zz4_pair_0117,5,12,0000,107,1024,0.1044921875
H0,118,zz4_H0_zz4_pair_0118,zz4_pair_0118,5,13,0000,63,1024,0.0615234375
H0,119,zz4_H0_zz4_pair_0119,zz4_pair_0119,5,14,0000,29,1024,0.0283203125
H0,120,zz4_H0_zz4_pair_0120,zz4_pair_0120,5,15,0000,23,1024,0.0224609375
H0,121,zz4_H0_zz4_pair_0121,zz4_pair_0121,5,16,0000,92,1024,0.08984375
H0,122,zz4_H0_zz4_pair_0122,zz4_pair_0122,5,17,0000,108,1024,0.10546875
H0,123,zz4_H0_zz4_pair_0123,zz4_pair_0123,5,18,0000,104,1024,0.1015625
H0,124,zz4_H0_zz4_pair_0124,zz4_pair_0124,5,19,0000,34,1024,0.033203125
H0,125,zz4_H0_zz4_pair_0125,zz4_pair_0125,5,20,0000,25,1024,0.0244140625
H0,126,zz4_H0_zz4_pair_0126,zz4_pair_0126,5,21,0000,38,1024,0.037109375
H0,127,zz4_H0_zz4_pair_0127,zz4_pair_0127,5,22,0000,48,1024,0.046875
H0,128,zz4_H0_zz4_pair_0128,zz4_pair_0128,5,23,0000,95,1024,0.0927734375
H0,129,zz4_H0_zz4_pair_0129,zz4_pair_0129,6,6,0000,957,1024,0.9345703125
H0,130,zz4_H0_zz4_pair_0130,zz4_pair_0130,6,7,0000,158,1024,0.154296875
H0,131,zz4_H0_zz4_pair_0131,zz4_pair_0131,6,8,0000,53,1024,0.0517578125
H0,132,zz4_H0_zz4_pair_0132,zz4_pair_0132,6,9,0000,11,1024,0.0107421875
H0,133,zz4_H0_zz4_pair_0133,zz4_pair_0133,6,10,0000,330,1024,0.322265625
H0,134,zz4_H0_zz4_pair_0134,zz4_pair_0134,6,11,0000,40,1024,0.0390625
H0,135,zz4_H0_zz4_pair_0135,zz4_pair_0135,6,12,0000,16,1024,0.015625
H0,136,zz4_H0_zz4_pair_0136,zz4_pair_0136,6,13,0000,10,1024,0.009765625
H0,137,zz4_H0_zz4_pair_0137,zz4_pair_0137,6,14,0000,130,1024,0.126953125
H0,138,zz4_H0_zz4_pair_0138,zz4_pair_0138,6,15,0000,40,1024,0.0390625
H0,139,zz4_H0_zz4_pair_0139,zz4_pair_0139,6,16,0000,65,1024,0.0634765625
H0,140,zz4_H0_zz4_pair_0140,zz4_pair_0140,6,17,0000,142,1024,0.138671875
H0,141,zz4_H0_zz4_pair_0141,zz4_pair_0141,6,18,0000,141,1024,0.1376953125
H0,142,zz4_H0_zz4_pair_0142,zz4_pair_0142,6,19,0000,79,1024,0.0771484375
H0,143,zz4_H0_zz4_pair_0143,zz4_pair_0143,6,20,0000,122,1024,0.119140625
